const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,20000.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.9152110121169,98.7,1.61,0.394,2.16,53.562,6.97721770742153,82.6593998696751,0.4,96.0,92.0,12.6,19.55,4.3
1.0,17600.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,82.0723248379512,88.2842294269223,100.0,2.35,0.394,2.16,54.88,5.32769761915331,91.037146163309,0.2,78.0,79.0,2.5,30.0,4.3
1.0,2320.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,44.4680831984093,28.5838871671897,89.5,2.35,0.141,3.789,59.854,45.238195906874,45.3861391861051,1.5,90.0,95.0,6.2,3.4,4.3
1.0,35570.0,20.200000000000003,40.1,3228.43505859,96.6900024414062,97.9300003051758,4.056111670985595,81.94279215408704,95.3480675371882,100.0,2.15,3.077,5.509,85.171,7.13055653028488,73.410221100722,0.1,96.0,97.0,3.0,14.9,4.3
1.0,45180.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,99.7041454123987,98.6459963453591,100.0,2.35,0.394,2.16,82.044,6.36802803638816,87.2761033734964,0.4,95.0,96.0,2.5,34.6,4.3
1.0,15620.0,20.3,45.8,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,80.5075784878385,98.3836215500599,100.0,1.18,2.636,6.025,83.167,7.1284953663228,81.9929907443709,0.6,93.0,99.0,2.5,8.9,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,96.8652854148107,100.0,100.0,2.35,0.394,2.16,73.106,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.6,19.55,4.3
1.0,2410.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,51.3,2.35,0.175,1.085,69.638,51.9672158322426,38.5735094747127,3.2,72.0,78.0,26.8,15.4,4.3
1.0,510.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,22.2392232754516,14.7542851111188,39.4,2.35,0.394,2.16,41.231,45.459444882299,45.0253641794136,0.5,46.0,60.0,39.7,26.8,4.3
1.0,7640.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.62276317232973,81.94279215408704,88.2510779331487,99.6,2.35,0.394,2.16,46.838,15.935660184566,65.2188110018724,1.2,84.0,88.0,4.6,8.8,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.8132594702229,97.0033810791135,100.0,2.35,0.394,2.16,62.42,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
