country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Kazakhstan,KAZ,ECS,UMC,48.0,68.0,6.709,20592571.0,8.65323470294214,12150.0,5.0,,,,,,,97.8608457968327,100.0,,,,58.387,5.12469470440264,86.6754521201012,0.3,93.0,98.0,2.5,22.2,
Kenya,KEN,SSF,LMC,1.0,38.0,7.211,56432944.0,2.96616899017204,2110.0,,,,,,4.02242346098974,,36.528720029267,76.2,,0.102,0.644,30.049,48.2899120809572,40.856479221944,3.0,88.0,91.0,34.5,10.7,
Kyrgyz Republic,KGZ,ECS,LMC,41.0,75.0,4.4,7224614.0,5.68194389959712,2150.0,25.7,,,,,,76.4871521039571,97.8645711028921,100.0,4.23,,,38.166,10.4414310543389,81.5861780638101,0.3,96.0,85.0,6.1,27.3,
Cambodia,KHM,EAS,LMC,13.0,105.0,6.39,17638801.0,6.16370427229448,2520.0,,,,,,,29.131279569715,76.719418336462,95.0,,,,26.035,23.0343168225405,67.7209576492285,0.5,83.0,83.0,4.6,17.2,
Kiribati,KIR,EAS,LMC,,,7.046,134518.0,4.23660774022807,3620.0,,,,,,,14.4140746669502,45.1820538815103,95.9,,,,58.448,21.6167598805556,72.8134553298564,,79.0,94.0,3.7,39.7,
St. Kitts and Nevis,KNA,LCN,HIC,,,9.963,46843.0,11.2257968106227,22310.0,,,,,,,,,100.0,4.33,,,31.221,,,0.8,95.0,97.0,,,
"Korea, Rep.",KOR,EAS,HIC,37.0,128.0,6.0,51751065.0,19.2735131316057,,,,3269.70385742,,,,99.2801236024823,99.8167822550343,100.0,12.75,,,81.498,12.8287871492843,77.9104186148433,,97.0,97.0,2.5,20.0,
Kuwait,KWT,MEA,HIC,29.5,47.75,1.53211676064858,4973861.0,3.1048387301063,40250.0,,,,,,6.43592667889685,100.0,100.0,100.0,,,,100.0,7.08553117120388,79.3692717439555,0.1,98.0,99.0,2.5,19.9,
Lao PDR,LAO,EAS,LMC,18.0,105.0,6.221,7769819.0,4.66578436383138,2000.0,,,,,,,17.8720755715615,79.5136338496498,96.5,1.31,,,38.906,25.6405037340773,65.3429480560114,0.4,69.0,67.0,5.4,27.2,
Lebanon,LBN,MEA,LMC,34.0,36.0,5.962,5805962.0,10.1385877257367,,,,,,,1.22490869993085,47.7,99.2,100.0,2.73,,,89.603,5.55337748107005,88.5511303769937,0.1,67.0,49.0,9.6,34.3,
